ph_model,nhid,layers,ptdecay,ftdecay,ins,gscale,decode_acc
mono,500,6,0.001,0.001,0.0,0.0,64.44
mono,500,6,0.001,0.001,0.0,2.0,70.08
mono,500,6,0.001,0.001,0.0,4.0,70.42
mono,500,6,0.001,0.001,0.0,8.0,67.05
mono,500,6,0.001,0.001,0.0,16.0,56.85
mono,500,6,0.001,0.001,-2.0,0.0,65.21
mono,500,6,0.001,0.001,-4.0,0.0,65.55
mono,500,6,0.001,0.001,-8.0,0.0,65.26
mono,500,6,0.001,0.001,-16.0,0.0,61.81
xwbir,500,6,0.001,0.001,0.0,0.0,66.24
xwbir,500,6,0.001,0.001,0.0,2.0,71.87
xwbir,500,6,0.001,0.001,0.0,4.0,72.15
xwbir,500,6,0.001,0.001,0.0,8.0,70.01
xwbir,500,6,0.001,0.001,0.0,16.0,61.19
xwbir,500,6,0.001,0.001,-2.0,0.0,67.05
xwbir,500,6,0.001,0.001,-4.0,0.0,67.08
xwbir,500,6,0.001,0.001,-8.0,0.0,66.83
xwbir,500,6,0.001,0.001,-16.0,0.0,65.43
xwbil,500,6,0.001,0.001,0.0,0.0,65.94
xwbil,500,6,0.001,0.001,0.0,2.0,71.78
xwbil,500,6,0.001,0.001,0.0,4.0,71.81
xwbil,500,6,0.001,0.001,0.0,8.0,69.78
xwbil,500,6,0.001,0.001,0.0,16.0,60.98
xwbil,500,6,0.001,0.001,-2.0,0.0,66.66
xwbil,500,6,0.001,0.001,-4.0,0.0,67.19
xwbil,500,6,0.001,0.001,-8.0,0.0,66.63
xwbil,500,6,0.001,0.001,-16.0,0.0,64.92
xwtri,500,6,0.001,0.001,0.0,0.0,66.66
xwtri,500,6,0.001,0.001,0.0,2.0,72.05
xwtri,500,6,0.001,0.001,0.0,4.0,72.79
xwtri,500,6,0.001,0.001,0.0,8.0,71.03
xwtri,500,6,0.001,0.001,0.0,16.0,63.85
xwtri,500,6,0.001,0.001,-2.0,0.0,67.11
xwtri,500,6,0.001,0.001,-4.0,0.0,67.22
xwtri,500,6,0.001,0.001,-8.0,0.0,67.73
xwtri,500,6,0.001,0.001,-16.0,0.0,66.68
