ph_model,nhid,ctxt,layers,ptdecay,ftdecay,ins,gscale,decode_acc
xwtri,500,6,1,0.001,0.001,0.0,4.0,70.18
xwtri,500,6,1,0.001,0.001,-2.0,4.0,69.60
xwtri,500,6,1,0.001,0.001,-1.0,4.0,69.97
xwtri,500,6,1,0.001,0.001,-4.0,0.0,65.01
xwtri,500,6,1,0.001,0.001,-4.0,2.0,68.70
xwtri,500,6,1,0.001,0.001,-4.0,1.0,67.26
xwtri,500,6,1,0.001,0.001,-4.0,4.0,69.09
xwtri,500,6,1,0.001,0.001,-4.0,8.0,67.43
xwtri,500,6,1,0.001,0.001,-4.0,16.0,58.15
xwtri,500,6,1,0.001,0.001,-8.0,4.0,68.13
xwtri,500,6,1,0.001,0.001,-16.0,4.0,64.81
xwtri,500,6,1,0.001,0.002,0.0,4.0,70.23
xwtri,500,6,1,0.001,0.002,-2.0,4.0,69.61
xwtri,500,6,1,0.001,0.002,-1.0,4.0,70.08
xwtri,500,6,1,0.001,0.002,-4.0,0.0,65.05
xwtri,500,6,1,0.001,0.002,-4.0,2.0,68.61
xwtri,500,6,1,0.001,0.002,-4.0,1.0,67.28
xwtri,500,6,1,0.001,0.002,-4.0,4.0,69.24
xwtri,500,6,1,0.001,0.002,-4.0,8.0,67.39
xwtri,500,6,1,0.001,0.002,-4.0,16.0,57.94
xwtri,500,6,1,0.001,0.002,-8.0,4.0,68.11
xwtri,500,6,1,0.001,0.002,-16.0,4.0,64.76
xwtri,500,6,1,0.001,0.003,0.0,4.0,70.31
xwtri,500,6,1,0.001,0.003,-2.0,4.0,69.81
xwtri,500,6,1,0.001,0.003,-1.0,4.0,70.06
xwtri,500,6,1,0.001,0.003,-4.0,0.0,65.01
xwtri,500,6,1,0.001,0.003,-4.0,2.0,69.15
xwtri,500,6,1,0.001,0.003,-4.0,1.0,67.40
xwtri,500,6,1,0.001,0.003,-4.0,4.0,69.30
xwtri,500,6,1,0.001,0.003,-4.0,8.0,67.51
xwtri,500,6,1,0.001,0.003,-4.0,16.0,58.16
xwtri,500,6,1,0.001,0.003,-8.0,4.0,68.10
xwtri,500,6,1,0.001,0.003,-16.0,4.0,64.78
xwtri,500,6,1,0.001,0.01,0.0,4.0,70.40
xwtri,500,6,1,0.001,0.01,-2.0,4.0,69.92
xwtri,500,6,1,0.001,0.01,-1.0,4.0,70.21
xwtri,500,6,1,0.001,0.01,-4.0,0.0,65.36
xwtri,500,6,1,0.001,0.01,-4.0,2.0,68.79
xwtri,500,6,1,0.001,0.01,-4.0,1.0,67.54
xwtri,500,6,1,0.001,0.01,-4.0,4.0,69.20
xwtri,500,6,1,0.001,0.01,-4.0,8.0,67.05
xwtri,500,6,1,0.001,0.01,-4.0,16.0,57.43
xwtri,500,6,1,0.001,0.01,-8.0,4.0,68.02
xwtri,500,6,1,0.001,0.01,-16.0,4.0,64.28
xwtri,500,6,1,0.001,0.00001,0.0,4.0,70.23
xwtri,500,6,1,0.001,0.00001,-2.0,4.0,69.55
xwtri,500,6,1,0.001,0.00001,-1.0,4.0,69.92
xwtri,500,6,1,0.001,0.00001,-4.0,0.0,64.98
xwtri,500,6,1,0.001,0.00001,-4.0,2.0,68.61
xwtri,500,6,1,0.001,0.00001,-4.0,1.0,67.23
xwtri,500,6,1,0.001,0.00001,-4.0,4.0,69.27
xwtri,500,6,1,0.001,0.00001,-4.0,8.0,67.43
xwtri,500,6,1,0.001,0.00001,-4.0,16.0,58.34
xwtri,500,6,1,0.001,0.00001,-8.0,4.0,68.24
xwtri,500,6,1,0.001,0.00001,-16.0,4.0,64.78
xwtri,500,6,1,0.001,0.1,0.0,4.0,68.27
xwtri,500,6,1,0.001,0.1,-2.0,4.0,67.48
