ph_model,nhid,ctxt,layers,ptdecay,ftdecay,ins_pl,decode_acc
xwtri,500,6,1,0.001,0.001,0.0,68.67
xwtri,500,6,1,0.001,0.001,-2.0,69.72
xwtri,500,6,1,0.001,0.001,-1.0,69.37
xwtri,500,6,1,0.001,0.001,-4.0,70.32
xwtri,500,6,1,0.001,0.001,-8.0,70.46
xwtri,500,6,1,0.001,0.001,-16.0,69.50
xwtri,500,6,1,0.001,0.002,0.0,68.70
xwtri,500,6,1,0.001,0.002,-2.0,69.74
xwtri,500,6,1,0.001,0.002,-1.0,69.35
xwtri,500,6,1,0.001,0.002,-4.0,70.37
xwtri,500,6,1,0.001,0.002,-8.0,70.46
xwtri,500,6,1,0.001,0.002,-16.0,69.52
xwtri,500,6,1,0.001,0.003,0.0,68.76
xwtri,500,6,1,0.001,0.003,-2.0,69.83
xwtri,500,6,1,0.001,0.003,-1.0,69.40
xwtri,500,6,1,0.001,0.003,-4.0,70.32
xwtri,500,6,1,0.001,0.003,-8.0,70.66
xwtri,500,6,1,0.001,0.003,-16.0,69.46
xwtri,500,6,1,0.001,0.01,0.0,68.96
xwtri,500,6,1,0.001,0.01,-2.0,69.84
xwtri,500,6,1,0.001,0.01,-1.0,69.29
xwtri,500,6,1,0.001,0.01,-4.0,70.65
xwtri,500,6,1,0.001,0.01,-8.0,71.08
xwtri,500,6,1,0.001,0.01,-16.0,69.52
xwtri,500,6,1,0.001,0.00001,0.0,68.64
xwtri,500,6,1,0.001,0.00001,-2.0,69.64
xwtri,500,6,1,0.001,0.00001,-1.0,69.33
xwtri,500,6,1,0.001,0.00001,-4.0,70.26
xwtri,500,6,1,0.001,0.00001,-8.0,70.37
xwtri,500,6,1,0.001,0.00001,-16.0,69.52
xwtri,500,6,1,0.001,0.1,0.0,66.96
xwtri,500,6,1,0.001,0.1,-2.0,68.10
xwtri,500,6,1,0.001,0.1,-1.0,67.34
xwtri,500,6,1,0.001,0.1,-4.0,68.48
xwtri,500,6,1,0.001,0.1,-8.0,68.44
xwtri,500,6,1,0.001,0.1,-16.0,65.78
xwtri,500,6,1,0.001,0.0001,0.0,68.64
xwtri,500,6,1,0.001,0.0001,-2.0,69.64
xwtri,500,6,1,0.001,0.0001,-1.0,69.35
xwtri,500,6,1,0.001,0.0001,-4.0,70.26
xwtri,500,6,1,0.001,0.0001,-8.0,70.37
xwtri,500,6,1,0.001,0.0001,-16.0,69.52
xwtri,500,6,1,0.001,0.0005,0.0,68.59
xwtri,500,6,1,0.001,0.0005,-2.0,69.67
xwtri,500,6,1,0.001,0.0005,-1.0,69.37
xwtri,500,6,1,0.001,0.0005,-4.0,70.26
xwtri,500,6,1,0.001,0.0005,-8.0,70.38
xwtri,500,6,1,0.001,0.0005,-16.0,69.55
xwtri,500,6,1,0.001,0.005,0.0,69.06
xwtri,500,6,1,0.001,0.005,-2.0,69.84
xwtri,500,6,1,0.001,0.005,-1.0,69.49
xwtri,500,6,3,0.001,0.001,0.0,70.43
xwtri,500,6,3,0.001,0.001,-2.0,71.47
xwtri,500,6,3,0.001,0.001,-1.0,70.76
xwtri,500,6,3,0.001,0.001,-4.0,72.01
xwtri,500,6,3,0.001,0.001,-8.0,72.58
xwtri,500,6,3,0.001,0.001,-16.0,71.27
xwtri,500,6,3,0.001,0.002,0.0,70.89
xwtri,500,6,3,0.001,0.002,-2.0,71.81
xwtri,500,6,3,0.001,0.002,-1.0,71.34
xwtri,500,6,3,0.001,0.002,-4.0,72.33
xwtri,500,6,3,0.001,0.002,-8.0,73.01
xwtri,500,6,3,0.001,0.002,-16.0,71.45
xwtri,500,6,3,0.001,0.003,0.0,70.96
xwtri,500,6,3,0.001,0.003,-2.0,71.78
xwtri,500,6,3,0.001,0.003,-1.0,71.47
xwtri,500,6,3,0.001,0.003,-4.0,72.39
xwtri,500,6,3,0.001,0.003,-8.0,73.06
xwtri,500,6,3,0.001,0.003,-16.0,71.71
xwtri,500,6,3,0.001,0.01,0.0,70.45
xwtri,500,6,3,0.001,0.01,-2.0,71.44
xwtri,500,6,3,0.001,0.01,-1.0,70.97
xwtri,500,6,3,0.001,0.01,-4.0,71.85
xwtri,500,6,3,0.001,0.01,-8.0,72.13
xwtri,500,6,3,0.001,0.01,-16.0,70.60
xwtri,500,6,3,0.001,0.00001,0.0,70.43
xwtri,500,6,3,0.001,0.00001,-2.0,71.39
xwtri,500,6,3,0.001,0.00001,-1.0,70.62
xwtri,500,6,3,0.001,0.00001,-4.0,72.11
xwtri,500,6,3,0.001,0.00001,-8.0,72.69
xwtri,500,6,3,0.001,0.00001,-16.0,71.25
xwtri,500,6,3,0.001,0.1,0.0,68.70
xwtri,500,6,3,0.001,0.1,-2.0,69.64
xwtri,500,6,3,0.001,0.1,-1.0,69.35
xwtri,500,6,3,0.001,0.1,-4.0,69.84
xwtri,500,6,3,0.001,0.1,-8.0,69.63
xwtri,500,6,3,0.001,0.1,-16.0,67.17
xwtri,500,6,3,0.001,0.0001,0.0,70.49
xwtri,500,6,3,0.001,0.0001,-2.0,71.40
xwtri,500,6,3,0.001,0.0001,-1.0,70.65
xwtri,500,6,3,0.001,0.0001,-4.0,72.13
xwtri,500,6,3,0.001,0.0001,-8.0,72.69
xwtri,500,6,3,0.001,0.0001,-16.0,71.25
xwtri,500,6,3,0.001,0.0005,0.0,70.79
xwtri,500,6,3,0.001,0.0005,-2.0,71.57
