iter,ph_model,nhid,ctxt,layers,ptdecay,ftdecay,ins_pl,decode_acc
0,mono,500,6,6,0.001,0.001,-4.0,70.42
1,mono,500,6,6,0.001,0.001,-4.0,71.11
2,mono,500,6,6,0.001,0.001,-4.0,70.83
3,mono,500,6,6,0.001,0.001,-4.0,70.91
4,mono,500,6,6,0.001,0.001,-4.0,71.39
5,mono,500,6,6,0.001,0.001,-4.0,71.08
6,mono,500,6,6,0.001,0.001,-4.0,70.65
7,mono,500,6,6,0.001,0.001,-4.0,70.77
8,mono,500,6,6,0.001,0.001,-4.0,71.65
9,mono,500,6,6,0.001,0.001,-4.0,70.94
0,xwtri,500,6,6,0.001,0.001,-4.0,72.78
1,xwtri,500,6,6,0.001,0.001,-4.0,72.78
2,xwtri,500,6,6,0.001,0.001,-4.0,72.87
3,xwtri,500,6,6,0.001,0.001,-4.0,72.39
4,xwtri,500,6,6,0.001,0.001,-4.0,72.93
5,xwtri,500,6,6,0.001,0.001,-4.0,72.84
6,xwtri,500,6,6,0.001,0.001,-4.0,72.69
7,xwtri,500,6,6,0.001,0.001,-4.0,72.81
8,xwtri,500,6,6,0.001,0.001,-4.0,72.75
9,xwtri,500,6,6,0.001,0.001,-4.0,72.66
0,xwbil,500,6,6,0.001,0.001,-4.0,72.21
1,xwbil,500,6,6,0.001,0.001,-4.0,72.01
2,xwbil,500,6,6,0.001,0.001,-4.0,72.50
3,xwbil,500,6,6,0.001,0.001,-4.0,73.04
4,xwbil,500,6,6,0.001,0.001,-4.0,72.55
5,xwbil,500,6,6,0.001,0.001,-4.0,73.00
6,xwbil,500,6,6,0.001,0.001,-4.0,73.26
7,xwbil,500,6,6,0.001,0.001,-4.0,72.50
8,xwbil,500,6,6,0.001,0.001,-4.0,72.90
9,xwbil,500,6,6,0.001,0.001,-4.0,72.86
0,xwbir,500,6,6,0.001,0.001,-4.0,72.13
1,xwbir,500,6,6,0.001,0.001,-4.0,71.64
2,xwbir,500,6,6,0.001,0.001,-4.0,71.81
3,xwbir,500,6,6,0.001,0.001,-4.0,72.33
4,xwbir,500,6,6,0.001,0.001,-4.0,72.36
5,xwbir,500,6,6,0.001,0.001,-4.0,72.33
6,xwbir,500,6,6,0.001,0.001,-4.0,72.33
7,xwbir,500,6,6,0.001,0.001,-4.0,72.18
8,xwbir,500,6,6,0.001,0.001,-4.0,72.36
9,xwbir,500,6,6,0.001,0.001,-4.0,72.27
