ph_model,nhid,layers,ptdecay,ftdecay,cv_acc,tr_acc
mono,250,1,0.001,0.0001,57.62,62.26
mono,250,1,0.001,0.0005,57.76,61.94
mono,250,1,0.001,0.001,57.78,61.95
mono,250,1,0.001,0.005,57.91,62.39
mono,250,1,0.001,0.01,58.12,62.46
mono,250,1,0.001,0.05,58.45,61.94
mono,250,1,0.001,0.1,58.04,61.11
mono,250,1,0.0001,0.0001,57.62,62.26
mono,250,1,0.0001,0.0005,57.76,61.94
mono,250,1,0.0001,0.001,57.78,61.95
mono,250,1,0.0001,0.005,57.91,62.39
mono,250,1,0.0001,0.01,58.12,62.46
mono,250,1,0.0001,0.05,58.45,61.94
mono,250,1,0.0001,0.1,58.04,61.11
mono,250,1,0.01,0.0001,57.62,62.26
mono,250,1,0.01,0.0005,57.76,61.94
mono,250,1,0.01,0.001,57.78,61.95
mono,250,1,0.01,0.005,57.91,62.39
mono,250,1,0.01,0.01,58.12,62.46
mono,250,1,0.01,0.05,58.45,61.94
mono,250,1,0.01,0.1,58.04,61.11
mono,250,2,0.001,0.0001,59.51,65.39
mono,250,2,0.001,0.0005,59.60,65.40
mono,250,2,0.001,0.001,59.67,65.44
mono,250,2,0.001,0.005,60.04,65.50
mono,250,2,0.001,0.01,60.40,65.60
mono,250,2,0.001,0.05,60.22,63.62
mono,250,2,0.001,0.1,59.03,61.77
mono,250,2,0.0001,0.0001,59.49,65.39
mono,250,2,0.0001,0.0005,59.60,65.41
mono,250,2,0.0001,0.001,59.70,65.43
mono,250,2,0.0001,0.005,60.20,65.83
mono,250,2,0.0001,0.01,60.41,65.60
mono,250,2,0.0001,0.05,60.23,63.62
mono,250,2,0.0001,0.1,59.03,61.77
mono,250,2,0.01,0.0001,59.68,65.27
mono,250,2,0.01,0.0005,59.72,65.28
mono,250,2,0.01,0.001,59.72,65.24
mono,250,2,0.01,0.005,60.08,65.64
mono,250,2,0.01,0.01,59.84,64.59
mono,250,2,0.01,0.05,60.37,63.79
mono,250,2,0.01,0.1,58.97,61.58
mono,250,4,0.001,0.0001,60.46,67.50
mono,250,4,0.001,0.0005,60.31,67.13
mono,250,4,0.001,0.001,60.33,67.13
mono,250,4,0.001,0.005,61.00,67.48
mono,250,4,0.001,0.01,60.84,66.32
mono,250,4,0.001,0.05,60.42,64.16
mono,250,4,0.001,0.1,59.16,62.12
mono,250,4,0.0001,0.0001,60.47,67.51
mono,250,4,0.0001,0.0005,60.44,67.33
mono,250,4,0.0001,0.001,60.53,67.33
mono,250,4,0.0001,0.005,60.99,67.47
mono,250,4,0.0001,0.01,60.88,66.31
mono,250,4,0.0001,0.05,60.48,64.15
mono,250,4,0.0001,0.1,59.17,62.12
mono,250,4,0.01,0.0001,60.47,67.67
mono,250,4,0.01,0.0005,60.48,67.67
mono,250,4,0.01,0.001,60.55,67.66
mono,250,4,0.01,0.005,60.88,67.56
mono,250,4,0.01,0.01,61.37,67.17
mono,250,4,0.01,0.05,60.50,64.16
mono,250,4,0.01,0.1,59.04,61.94
mono,250,8,0.001,0.0001,60.83,67.76
mono,250,8,0.001,0.0005,60.80,67.73
mono,250,8,0.001,0.001,61.07,68.04
mono,250,8,0.001,0.005,61.12,67.51
mono,250,8,0.001,0.01,61.35,67.33
mono,250,8,0.001,0.05,60.40,64.18
mono,250,8,0.001,0.1,58.96,62.15
mono,250,8,0.0001,0.0001,60.64,67.74
mono,250,8,0.0001,0.0005,60.69,67.73
mono,250,8,0.0001,0.001,60.68,67.70
mono,250,8,0.0001,0.005,61.04,67.52
mono,250,8,0.0001,0.01,61.50,67.67
mono,250,8,0.0001,0.05,60.38,64.19
mono,250,8,0.0001,0.1,58.92,62.15
mono,250,8,0.01,0.0001,61.10,68.19
mono,250,8,0.01,0.0005,61.03,67.78
mono,250,8,0.01,0.001,61.01,67.76
mono,250,8,0.01,0.005,61.39,68.01
mono,250,8,0.01,0.01,61.53,67.32
mono,250,8,0.01,0.05,60.40,64.20
mono,250,8,0.01,0.1,59.14,62.46
mono,250,10,0.001,0.0001,60.45,67.64
mono,250,10,0.001,0.0005,60.52,67.63
mono,250,10,0.001,0.001,60.55,67.62
mono,250,10,0.001,0.005,60.84,67.62
mono,250,10,0.001,0.01,61.18,67.34
mono,250,10,0.001,0.05,ERROR,ERROR
mono,250,10,0.001,0.1,59.11,62.42
mono,250,10,0.0001,0.0001,60.50,67.63
mono,250,10,0.0001,0.001,60.56,67.62
mono,250,10,0.0001,0.01,61.09,67.31
mono,250,10,0.01,0.0001,60.74,67.84
mono,250,10,0.01,0.0005,60.45,67.71
mono,250,10,0.01,0.001,60.97,68.20
mono,250,10,0.01,0.005,61.17,68.02
mono,250,10,0.01,0.01,61.15,67.32
mono,250,10,0.01,0.05,60.55,64.47
mono,250,10,0.01,0.1,59.10,62.34
mono,500,1,0.001,0.0001,59.49,67.50
mono,500,1,0.001,0.0005,59.54,67.51
mono,500,1,0.001,0.001,59.55,67.53
mono,500,1,0.001,0.005,59.92,67.59
mono,500,1,0.001,0.01,60.18,67.63
mono,500,1,0.001,0.05,61.19,66.59
mono,500,1,0.001,0.1,60.44,64.52
mono,500,1,0.0001,0.0001,59.49,67.50
mono,500,1,0.0001,0.0005,59.54,67.51
mono,500,1,0.0001,0.001,59.55,67.53
mono,500,1,0.0001,0.005,59.92,67.59
mono,500,1,0.0001,0.01,60.18,67.63
mono,500,1,0.0001,0.05,61.19,66.59
mono,500,1,0.0001,0.1,60.44,64.52
mono,500,1,0.01,0.0001,59.49,67.50
mono,500,1,0.01,0.0005,59.54,67.51
mono,500,1,0.01,0.001,59.55,67.53
mono,500,1,0.01,0.005,59.92,67.59
mono,500,1,0.01,0.01,60.18,67.63
mono,500,1,0.01,0.05,61.19,66.59
mono,500,1,0.01,0.1,60.44,64.52
mono,500,2,0.001,0.0001,60.68,69.29
mono,500,2,0.001,0.0005,60.64,68.19
mono,500,2,0.001,0.001,60.73,68.39
mono,500,2,0.001,0.005,61.39,69.59
mono,500,2,0.001,0.01,61.93,69.48
mono,500,2,0.001,0.05,62.34,66.75
mono,500,2,0.001,0.1,61.08,63.99
mono,500,2,0.0001,0.0001,60.81,69.49
mono,500,2,0.0001,0.0005,60.69,68.66
mono,500,2,0.0001,0.001,60.76,68.68
mono,500,2,0.0001,0.005,61.48,69.34
mono,500,2,0.0001,0.01,61.55,69.02
mono,500,2,0.0001,0.05,62.41,66.70
mono,500,2,0.0001,0.1,61.11,64.11
mono,500,2,0.01,0.0001,60.83,68.72
mono,500,2,0.01,0.0005,60.62,68.63
mono,500,2,0.01,0.001,60.77,68.18
mono,500,2,0.01,0.005,61.30,68.64
mono,500,2,0.01,0.01,62.14,69.21
mono,500,2,0.01,0.05,62.52,66.98
mono,500,2,0.01,0.1,61.09,64.11
mono,500,3,0.001,0.0001,61.38,69.95
mono,500,3,0.001,0.0005,61.70,70.40
mono,500,3,0.001,0.001,61.71,71.18
mono,500,3,0.001,0.005,62.28,70.61
mono,500,3,0.001,0.01,62.21,69.41
mono,500,3,0.001,0.05,62.21,66.79
mono,500,3,0.001,0.1,60.71,63.71
mono,500,3,0.0001,0.0001,61.58,69.86
mono,500,3,0.0001,0.0005,61.41,69.80
mono,500,3,0.0001,0.001,61.59,70.42
mono,500,3,0.0001,0.005,61.94,71.01
mono,500,3,0.0001,0.01,62.29,70.30
mono,500,3,0.0001,0.05,62.50,67.09
mono,500,3,0.0001,0.1,60.56,63.76
mono,500,3,0.01,0.0001,61.58,70.08
mono,500,3,0.01,0.0005,61.63,69.22
mono,500,3,0.01,0.001,61.65,69.97
mono,500,3,0.01,0.005,61.50,69.70
mono,500,3,0.01,0.01,61.83,68.18
mono,500,3,0.01,0.05,62.68,67.31
mono,500,3,0.01,0.1,60.18,63.26
mono,500,4,0.001,0.0001,62.09,70.39
mono,500,4,0.001,0.0005,62.46,72.13
mono,500,4,0.001,0.001,62.25,70.66
mono,500,4,0.001,0.005,62.35,70.48
mono,500,4,0.001,0.01,62.77,70.65
mono,500,4,0.001,0.05,61.81,66.23
mono,500,4,0.001,0.1,61.00,64.54
mono,500,4,0.0001,0.0001,ERROR,ERROR
mono,500,4,0.0001,0.0005,62.38,71.44
mono,500,4,0.0001,0.001,62.24,70.33
mono,500,4,0.0001,0.005,62.38,70.12
mono,500,4,0.0001,0.01,62.62,70.13
mono,500,4,0.0001,0.05,62.43,67.43
mono,500,4,0.0001,0.1,61.08,64.58
mono,500,4,0.01,0.0001,62.60,72.38
mono,500,4,0.01,0.0005,62.24,69.72
mono,500,4,0.01,0.001,62.59,72.32
mono,500,4,0.01,0.005,62.91,71.90
mono,500,4,0.01,0.01,62.64,70.12
mono,500,4,0.01,0.05,62.55,67.42
mono,500,4,0.01,0.1,60.64,63.99
mono,500,5,0.001,0.0001,62.37,72.69
mono,500,5,0.001,0.0005,62.20,72.13
mono,500,5,0.001,0.001,62.38,72.58
mono,500,5,0.001,0.005,62.74,72.15
mono,500,5,0.001,0.01,62.69,71.00
mono,500,5,0.001,0.05,62.75,67.94
mono,500,5,0.001,0.1,60.94,64.47
mono,500,5,0.0001,0.0001,62.33,72.86
mono,500,5,0.0001,0.0005,62.53,72.70
mono,500,5,0.0001,0.001,62.65,73.32
mono,500,5,0.0001,0.005,62.78,72.17
mono,500,5,0.0001,0.01,62.86,70.99
mono,500,5,0.0001,0.05,62.64,67.93
mono,500,5,0.0001,0.1,60.85,64.46
mono,500,5,0.01,0.0001,62.41,72.01
mono,500,5,0.01,0.0005,62.45,71.97
mono,500,5,0.01,0.001,62.55,72.61
mono,500,5,0.01,0.005,62.99,72.44
mono,500,5,0.01,0.01,62.87,70.97
mono,500,5,0.01,0.05,62.24,67.30
mono,500,5,0.01,0.1,60.82,64.46
mono,500,6,0.001,0.0001,62.39,73.56
mono,500,6,0.001,0.0005,62.47,73.51
mono,500,6,0.001,0.001,62.51,73.44
mono,500,6,0.001,0.005,62.95,72.76
