ph_model,nhid,layers,ptdecay,ftdecay,ins_pl,decode_acc
mono,250,1,0.001,0.0001,-2.0,65.53
mono,250,1,0.001,0.0005,-2.0,65.46
mono,250,1,0.001,0.001,-2.0,65.36
mono,250,1,0.001,0.005,-2.0,65.02
mono,250,1,0.001,0.01,-2.0,65.26
mono,250,1,0.001,0.05,-2.0,64.41
mono,250,1,0.001,0.1,-2.0,64.28
mono,250,1,0.0001,0.0001,-2.0,65.53
mono,250,1,0.0001,0.0005,-2.0,65.46
mono,250,1,0.0001,0.001,-2.0,65.36
mono,250,1,0.0001,0.005,-2.0,65.02
mono,250,1,0.0001,0.01,-2.0,65.26
mono,250,1,0.0001,0.05,-2.0,64.41
mono,250,1,0.0001,0.1,-2.0,64.28
mono,250,1,0.01,0.0001,-2.0,65.53
mono,250,1,0.01,0.0005,-2.0,65.46
mono,250,1,0.01,0.001,-2.0,65.36
mono,250,1,0.01,0.005,-2.0,65.02
mono,250,1,0.01,0.01,-2.0,65.26
mono,250,1,0.01,0.05,-2.0,64.41
mono,250,1,0.01,0.1,-2.0,64.28
mono,250,2,0.001,0.0001,-2.0,67.25
mono,250,2,0.001,0.0005,-2.0,67.20
mono,250,2,0.001,0.001,-2.0,67.17
mono,250,2,0.001,0.005,-2.0,67.45
mono,250,2,0.001,0.01,-2.0,67.46
mono,250,2,0.001,0.05,-2.0,66.31
mono,250,2,0.001,0.1,-2.0,64.71
mono,250,2,0.0001,0.0001,-2.0,67.39
mono,250,2,0.0001,0.0005,-2.0,67.20
mono,250,2,0.0001,0.001,-2.0,67.16
mono,250,2,0.0001,0.005,-2.0,67.67
mono,250,2,0.0001,0.01,-2.0,67.48
mono,250,2,0.0001,0.05,-2.0,66.26
mono,250,2,0.0001,0.1,-2.0,64.71
mono,250,2,0.01,0.0001,-2.0,67.48
mono,250,2,0.01,0.0005,-2.0,67.45
mono,250,2,0.01,0.001,-2.0,67.62
mono,250,2,0.01,0.005,-2.0,67.43
mono,250,2,0.01,0.01,-2.0,67.48
mono,250,2,0.01,0.05,-2.0,66.49
mono,250,2,0.01,0.1,-2.0,64.73
mono,250,4,0.001,0.0001,-2.0,68.25
mono,250,4,0.001,0.0005,-2.0,68.39
mono,250,4,0.001,0.001,-2.0,68.24
mono,250,4,0.001,0.005,-2.0,68.45
mono,250,4,0.001,0.01,-2.0,68.24
mono,250,4,0.001,0.05,-2.0,67.19
mono,250,4,0.001,0.1,-2.0,66.75
mono,250,4,0.0001,0.0001,-2.0,68.36
mono,250,4,0.0001,0.0005,-2.0,68.48
mono,250,4,0.0001,0.001,-2.0,68.36
mono,250,4,0.0001,0.005,-2.0,68.73
mono,250,4,0.0001,0.01,-2.0,68.35
mono,250,4,0.0001,0.05,-2.0,67.16
