ph_model,nhid,layers,ptdecay,ftdecay,cv_acc,tr_acc
xwbil,500,1,0.001,0.0001,53.50,62.74
xwbil,500,1,0.001,0.001,53.60,62.75
xwbil,500,1,0.001,0.01,54.46,62.99
xwbil,500,1,0.001,0.1,54.42,58.50
xwbil,500,1,0.001,0.0005,53.56,62.75
xwbil,500,1,0.001,0.005,54.00,63.08
xwbil,500,1,0.001,0.05,55.30,61.10
xwbil,500,3,0.001,0.0001,56.28,68.47
xwbil,500,3,0.001,0.001,56.16,68.41
xwbil,500,3,0.001,0.01,57.45,67.23
xwbil,500,3,0.001,0.1,54.60,57.74
xwbil,500,3,0.001,0.0005,56.34,68.34
xwbil,500,3,0.001,0.005,56.69,67.78
xwbil,500,3,0.001,0.05,56.37,61.06
xwbil,500,6,0.001,0.0001,57.05,69.00
xwbil,500,6,0.001,0.001,57.13,67.95
xwbil,500,6,0.001,0.01,57.58,67.26
xwbil,500,6,0.001,0.1,55.24,58.91
xwbil,500,6,0.001,0.0005,57.03,67.69
xwbil,500,6,0.001,0.005,57.61,68.44
xwbil,500,6,0.001,0.05,56.58,61.88
xwbil,500,8,0.001,0.0001,56.45,69.79
xwbil,500,8,0.001,0.001,56.47,69.60
xwbil,500,8,0.001,0.01,57.21,67.68
xwbil,500,8,0.001,0.1,54.93,58.79
xwbil,500,8,0.001,0.0005,56.49,69.70
xwbil,500,8,0.001,0.005,ERROR,ERROR
xwbil,500,8,0.001,0.05,56.26,61.89
