ph_model,nhid,layers,ptdecay,ftdecay,ins_pl,decode_acc
xwbil,500,1,0.001,0.0001,-2.0,69.50
xwbil,500,1,0.001,0.001,-2.0,69.47
xwbil,500,1,0.001,0.01,-2.0,69.50
xwbil,500,1,0.001,0.1,-2.0,67.88
xwbil,500,1,0.001,0.0005,-2.0,69.52
xwbil,500,1,0.001,0.005,-2.0,69.63
xwbil,500,1,0.001,0.05,-2.0,69.46
xwbil,500,3,0.001,0.0001,-2.0,71.78
xwbil,500,3,0.001,0.001,-2.0,71.74
xwbil,500,3,0.001,0.01,-2.0,71.54
xwbil,500,3,0.001,0.1,-2.0,68.76
xwbil,500,3,0.001,0.0005,-2.0,71.42
xwbil,500,3,0.001,0.005,-2.0,71.85
xwbil,500,3,0.001,0.05,-2.0,69.83
xwbil,500,6,0.001,0.0001,-2.0,71.53
xwbil,500,6,0.001,0.001,-2.0,71.74
xwbil,500,6,0.001,0.01,-2.0,71.48
xwbil,500,6,0.001,0.1,-2.0,69.98
xwbil,500,6,0.001,0.0005,-2.0,71.65
xwbil,500,6,0.001,0.005,-2.0,71.73
xwbil,500,6,0.001,0.05,-2.0,70.89
xwbil,500,8,0.001,0.0001,-2.0,71.50
xwbil,500,8,0.001,0.001,-2.0,71.70
xwbil,500,8,0.001,0.01,-2.0,71.68
xwbil,500,8,0.001,0.1,-2.0,69.92
xwbil,500,8,0.001,0.0005,-2.0,71.67
xwbil,500,8,0.001,0.05,-2.0,71.06
