ph_model,nhid,layers,ptdecay,ftdecay,cv_acc,tr_acc
xwbir,500,1,0.001,0.0001,52.87,62.98
xwbir,500,1,0.001,0.001,52.93,62.99
xwbir,500,1,0.001,0.01,53.90,62.83
xwbir,500,1,0.001,0.1,54.17,58.08
xwbir,500,1,0.001,0.0005,52.92,62.98
xwbir,500,1,0.001,0.005,53.44,62.94
xwbir,500,1,0.001,0.05,54.83,60.65
xwbir,500,3,0.001,0.0001,55.08,65.45
xwbir,500,3,0.001,0.001,54.87,65.35
xwbir,500,3,0.001,0.01,56.00,64.86
xwbir,500,3,0.001,0.1,53.53,56.84
xwbir,500,3,0.001,0.0005,55.16,65.42
xwbir,500,3,0.001,0.005,55.52,65.01
xwbir,500,3,0.001,0.05,55.26,59.99
xwbir,500,6,0.001,0.0001,55.68,67.18
xwbir,500,6,0.001,0.001,55.68,66.76
xwbir,500,6,0.001,0.01,56.42,65.99
xwbir,500,6,0.001,0.1,54.33,58.14
xwbir,500,6,0.001,0.0005,55.72,67.11
xwbir,500,6,0.001,0.005,56.18,66.40
xwbir,500,6,0.001,0.05,55.44,60.53
xwbir,500,8,0.001,0.0001,55.46,66.11
xwbir,500,8,0.001,0.001,55.53,66.02
xwbir,500,8,0.001,0.01,56.00,65.54
xwbir,500,8,0.001,0.1,54.41,58.41
xwbir,500,8,0.001,0.0005,55.50,66.06
xwbir,500,8,0.001,0.005,55.89,66.13
xwbir,500,8,0.001,0.05,55.66,61.43
