ph_model,nhid,layers,ptdecay,ftdecay,cv_acc,tr_acc
xwtri,500,1,0.001,0.0001,47.80,59.46
xwtri,500,1,0.001,0.001,47.92,59.42
xwtri,500,1,0.001,0.01,48.61,59.93
xwtri,500,1,0.001,0.1,47.96,52.35
xwtri,500,1,0.001,0.0005,47.84,59.44
xwtri,500,1,0.001,0.005,48.16,60.29
xwtri,500,1,0.001,0.05,49.21,55.97
xwtri,500,3,0.001,0.0001,49.38,62.62
xwtri,500,3,0.001,0.001,49.54,62.45
xwtri,500,3,0.001,0.01,49.83,59.09
xwtri,500,3,0.001,0.1,47.84,51.07
xwtri,500,3,0.001,0.0005,50.02,63.23
xwtri,500,3,0.001,0.005,50.51,62.43
xwtri,500,3,0.001,0.05,49.74,54.40
xwtri,500,6,0.001,0.0001,49.77,62.48
xwtri,500,6,0.001,0.001,49.90,62.31
xwtri,500,6,0.001,0.01,50.62,60.76
xwtri,500,6,0.001,0.1,47.83,51.74
xwtri,500,6,0.001,0.0005,49.84,62.40
xwtri,500,6,0.001,0.005,50.26,61.63
xwtri,500,6,0.001,0.05,50.01,55.84
xwtri,500,8,0.001,0.0001,49.25,61.43
xwtri,500,8,0.001,0.001,49.29,61.30
xwtri,500,8,0.001,0.01,50.34,61.34
xwtri,500,8,0.001,0.1,47.99,51.88
xwtri,500,8,0.001,0.0005,49.27,61.37
xwtri,500,8,0.001,0.005,49.83,61.21
xwtri,500,8,0.001,0.05,49.26,54.97
