ph_model,nhid,layers,ptdecay,ftdecay,ins_pl,decode_acc
xwtri,500,1,0.001,0.0001,-2.0,69.64
xwtri,500,1,0.001,0.001,-2.0,69.72
xwtri,500,1,0.001,0.01,-2.0,69.84
xwtri,500,1,0.001,0.1,-2.0,68.10
xwtri,500,1,0.001,0.0005,-2.0,69.67
xwtri,500,1,0.001,0.005,-2.0,69.84
xwtri,500,1,0.001,0.05,-2.0,69.37
xwtri,500,3,0.001,0.0001,-2.0,71.40
xwtri,500,3,0.001,0.001,-2.0,71.47
xwtri,500,3,0.001,0.01,-2.0,71.44
xwtri,500,3,0.001,0.1,-2.0,69.64
xwtri,500,3,0.001,0.0005,-2.0,71.57
xwtri,500,3,0.001,0.005,-2.0,71.99
xwtri,500,3,0.001,0.05,-2.0,70.88
xwtri,500,6,0.001,0.0001,-2.0,72.52
xwtri,500,6,0.001,0.001,-2.0,72.52
xwtri,500,6,0.001,0.01,-2.0,72.70
xwtri,500,6,0.001,0.1,-2.0,70.35
xwtri,500,6,0.001,0.0005,-2.0,72.53
xwtri,500,6,0.001,0.005,-2.0,72.52
xwtri,500,6,0.001,0.05,-2.0,71.76
xwtri,500,8,0.001,0.0001,-2.0,ERROR
xwtri,500,8,0.001,0.001,-2.0,ERROR
xwtri,500,8,0.001,0.01,-2.0,ERROR
xwtri,500,8,0.001,0.1,-2.0,70.66
xwtri,500,8,0.001,0.0005,-2.0,ERROR
xwtri,500,8,0.001,0.005,-2.0,ERROR
xwtri,500,8,0.001,0.05,-2.0,71.88
